molecule_chembl_id,smiles,IC50 value
CHEMBL2315269,Cn1nc(CC(=O)Nc2ccc(Cl)cc2C(F)(F)F)c2ccccc2c1=O,5000
CHEMBL2315262,Cn1nc(CC(=O)Nc2ccc(N)c(C(F)(F)F)c2)c2ccccc2c1=O,5000
CHEMBL2315261,COc1ccc(NC(=O)Cc2nn(C)c(=O)c3ccccc23)cc1C(F)(F)F,5000
CHEMBL2314989,Cn1nc(CC(=O)Nc2cccc(Cl)c2)c2ccccc2c1=O,5000
CHEMBL2314988,Cn1nc(CC(=O)Nc2cccc(C(F)(F)F)c2)c2ccccc2c1=O,5000
CHEMBL2314987,Cn1nc(CC(=O)Nc2ccc(S(C)(=O)=O)cc2)c2ccccc2c1=O,5000
CHEMBL2314986,Cn1nc(CC(=O)Nc2ccc(C(F)(F)F)cc2)c2ccccc2c1=O,5000
CHEMBL2314984,Cn1nc(CC(=O)Nc2ccc(F)cc2)c2ccccc2c1=O,5000
CHEMBL1313756,COc1ccc(CNC(=O)Cc2nn(C)c(=O)c3ccccc23)cc1,5000
CHEMBL2314982,CC(C)c1ccc(NC(=O)Cc2nn(C)c(=O)c3ccccc23)cc1,5000
CHEMBL2314981,Cc1ccc(NC(=O)Cc2nn(C)c(=O)c3ccccc23)cc1,5000
CHEMBL2314980,Cn1nc(CC(=O)Nc2ccc(OC(F)(F)F)cc2)c2ccccc2c1=O,5000
CHEMBL2314979,CCOc1ccc(NC(=O)Cc2nn(C)c(=O)c3ccccc23)cc1,5000
CHEMBL2314978,COc1cccc(NC(=O)Cc2nn(C)c(=O)c3ccccc23)c1,5000
CHEMBL2314977,Cn1nc(CC(=O)NC(C)(C)C)c2ccccc2c1=O,5000
CHEMBL2314976,Cn1nc(CC(=O)NN)c2ccccc2c1=O,5000
CHEMBL1608247,COc1ccccc1NC(=O)Cc1nn(C)c(=O)c2ccccc12,5000
CHEMBL2348795,C[C@H](Nc1cccc2ccccc12)C(=O)Nc1ccc2oc(-c3ccncc3)nc2c1,15
CHEMBL2348794,C[C@H](Nc1cccc(Cl)c1Cl)C(=O)Nc1ccc2oc(-c3ccncc3)nc2c1,1.1
CHEMBL2348793,CC(Nc1cccc(Cl)c1Cl)C(=O)Nc1ccc2oc(-c3ccncc3)nc2c1,1.8
CHEMBL2348636,C[C@@H](C(=O)Nc1ccc2oc(-c3ccncc3)nc2c1)c1cccc(Cl)c1Cl,50
